ea_id,latitude,longitude,round,prop_imp,SPEI,prop_female_head,mean_age_head,prop_salaried_head,prop_head_edu_1,prop_head_edu_2,prop_head_edu_3,prop_head_edu_4,prop_head_edu_5,prop_head_edu_6,prop_head_edu_7,total_plot_size,prop_coupon,prop_credit,prop_left_seeds,prop_advice,members_agri_coop,agri_coop,maize_hybrid_sellers,assistant_ag_officer,grid_id
20206362,-13.27400016784668,34.14039993286133,4,.8729983,-.7084683179855347,.16666667,37.666668,.083333336,.75,.083333336,.083333336,0,0,0,0,18.040001,.071428575,.14285715,.53571427,.25,90,1,10,1,88
20303065,-13.23050022125244,34.00930023193359,1,.1335524,-.8804996609687805,.06666667,46.933334,.06666667,.73333335,.13333334,.06666667,0,0,0,0,39.880001,0,.085714288,.80000001,.53333336,0,0,0,0,84
20303065,-13.23050022125244,34.00930023193359,2,.54436457,.2250586897134781,.06666667,47.666668,.06666667,.93333334,.06666667,0,0,0,0,0,51.310001,.040816326,.06122449,.67346936,.60000002,0,0,1,0,84
20303065,-13.23050022125244,34.00930023193359,3,.23256747,-.7338849902153015,0,47.42857,.14285715,.85714287,.14285715,0,0,0,0,0,42.66,.07692308,.03846154,.57692307,.42857143,0,0,0,0,84
20303065,-13.23050022125244,34.00930023193359,4,.72362226,-.5645636916160583,0,45.599998,0,.86666667,.06666667,.06666667,0,0,0,0,26.139999,.065217391,.19565217,.52173913,.53333336,40,1,0,0,84
20306557,-13.33139991760254,33.85810089111328,1,.39653698,-1.161016345024109,.18181819,44.18182,0,.81818181,0,.090909094,0,0,0,0,36.240002,.029411765,.05882353,.82352942,.18181819,0,0,0,0,45
20306557,-13.33139991760254,33.85810089111328,2,.29009178,.279851108789444,.18181819,40.81818,0,.72727275,0,.090909094,0,0,0,0,45.130001,.046511628,.13953489,.55813956,.90909094,0,0,0,0,45
20306557,-13.33139991760254,33.85810089111328,3,.16052465,-.5629002451896667,.14285715,41.285713,.14285715,1.4285715,.14285715,0,0,0,0,0,26.129999,.0625,.03125,.65625,.30000001,0,0,0,1,45
20306557,-13.33139991760254,33.85810089111328,4,.2021087,-.5761911869049072,.36363637,39.636364,.18181819,.63636363,.18181819,.090909094,0,0,0,0,37.009998,0,.054054055,.37837839,.18181819,0,0,20,0,45
20404032,-13.74689960479736,34.16320037841797,1,.58526468,-1.046926975250244,.14285715,49.07143,0,.35714287,.071428575,.14285715,0,0,0,0,26.799999,.10344828,.13793103,.55172414,.071428575,0,0,0,1,65
20404032,-13.74689960479736,34.16320037841797,2,.55568773,.2503925561904907,.42857143,52.57143,0,.42857143,0,.071428575,0,0,0,0,26.380001,.024390243,.073170729,.58536583,.71428573,0,0,0,0,65
20404032,-13.74689960479736,34.16320037841797,3,.49876565,-.2899316549301147,.21428572,51.142857,0,.2857143,.071428575,0,.071428575,0,0,0,26.5,.1025641,.12820514,.41025642,.61538464,0,0,0,0,65
20404032,-13.74689960479736,34.16320037841797,4,.61417145,-1.216644287109375,.21428572,49.214287,.071428575,.64285713,0,.071428575,.071428575,0,0,0,20.74,.030303031,.18181819,.4848485,.35714287,0,0,0,1,65
20404575,-13.79209995269775,34.16019821166992,1,.6634267,-1.087439060211182,.06666667,45.799999,.2,.80000001,0,0,0,0,0,0,34.720001,.027027028,.10810811,.75675678,.06666667,0,0,0,1,55
20404575,-13.79209995269775,34.16019821166992,2,.5314526,.2942805588245392,.13333334,48.799999,.06666667,.73333335,.06666667,0,0,0,0,0,33.5,.04255319,.10638298,.65957445,.66666669,0,0,0,0,55
20404575,-13.79209995269775,34.16019821166992,3,.3334482,-.2609780430793762,.15384616,45.153847,.15384616,.92307693,.07692308,.07692308,0,0,0,0,32.75,.023255814,.18604651,.39534885,.73333335,0,0,0,0,55
20404575,-13.79209995269775,34.16019821166992,4,.051196627,-1.138314366340637,.2,44.933334,.26666668,.73333335,0,.06666667,0,0,0,0,28.040001,.020833334,.0625,.75,0,0,0,0,0,55
20407398,-13.63619995117188,33.7489013671875,1,.67716557,-1.555614948272705,.23076923,41.53846,0,.76923078,.15384616,0,0,0,0,0,32.099998,.0625,.15625,.59375,.15384616,0,0,0,0,18
20407398,-13.63619995117188,33.7489013671875,2,.34489635,.5862756371498108,.15384616,40.153847,0,.69230771,.07692308,0,0,0,0,0,31.219999,.057142857,.057142857,.5714286,.61538464,0,0,0,0,18
